source,region,name,rating_raw,review_count_raw,location,price_range,categories,snippet
Yelp,Donegal,Harmony Acres,5.0,(2 reviews),Belle Vernon,,"“They also sell a lot of local goodies like farm fresh eggs, honey, bread items,bakery items(like...”more, Pumpkin Patches, Greengrocers, Farms","“They also sell a lot of local goodies like farm fresh eggs, honey, bread items, bakery items (like...” more"
Yelp,Donegal,Sweet Alchemy Bake Shop,4.7,(3 reviews),New Kensington,,"“cons above, it's worth the trip out of Pittsburgh or anywhere to enjoy a really goodsweet treat.”more, Bakeries, Cupcakes","“cons above, it's worth the trip out of Pittsburgh or anywhere to enjoy a really good sweet treat .” more"
Yelp,Donegal,Pastries A-La-Carte,4.2,(104 reviews),Pittsburgh,$$$,"“and patient- it is very overwhelming- in the best way- with all of the delicioussweet treats!”more, Bakeries, Desserts",“and patient- it is very overwhelming- in the best way- with all of the delicious sweet treats !” more
Yelp,Donegal,Fazio's Bakery,5.0,(1 review),New Kensington,,"“The best cookies in Ak valley, the raisin cookies are to die for. Great people to deal with.”more, Bakeries","“The best cookies in Ak valley, the raisin cookies are to die for. Great people to deal with.” more"
Yelp,Donegal,Jackson Farms Dairy,4.4,(7 reviews),New Salem,,"“Abakerycase full of fresh donuts. And a table full off fresh homegrown veggies like tomatos and...”more, Newsagents, Ice Cream & Frozen Yoghurt, Desserts",“A bakery case full of fresh donuts. And a table full off fresh homegrown veggies like tomatos and...” more
Yelp,Donegal,Bartram House Bakery,3.8,(116 reviews),Cranberry Township,$,"“Great place for asweet treat. This was my first time here and it is a really cool place to hang out...”more, Bakeries, Cafes, Breakfast & Brunch",“Great place for a sweet treat . This was my first time here and it is a really cool place to hang out...” more
Yelp,Donegal,Bartram House Bakery,3.1,(190 reviews),Wexford,$$,"“This tall case filled withsweet treatsis beckoning you to try a piece of everything.”more, Bakeries",“This tall case filled with sweet treats is beckoning you to try a piece of everything.” more
Yelp,Donegal,Prantls Bakery,3.3,(10 reviews),North Huntingdon,,"“Always kept clean! Super great selection ofsweet treats. Everyone knows about the almond torte cake...”more, Bakeries, Desserts, Custom Cakes",“Always kept clean! Super great selection of sweet treats . Everyone knows about the almond torte cake...” more
Yelp,Donegal,DeAngelo’s Bakery,until 08:00 tomorrow,,Brownsville,,"Desserts, Bakeries, Cupcakes",
Yelp,Donegal,Harts & Flours,until 17:00,,Irwin,,Bakeries,
Yelp,Donegal,Sgambati's Bakery,5.0,(1 review),Trafford,,"“This baker's bun hosts Keith Heinritz Katering's world famous fish sandwich. I'm thinking THEY must be famous too!”more, Bakeries",“This baker's bun hosts Keith Heinritz Katering's world famous fish sandwich. I'm thinking THEY must be famous too!” more
Yelp,Donegal,The Casselman Restaurant,4.0,(36 reviews),Grantsville,$$,"“Great service from the moment you walked in the door. Cute gift shop, homemadebaked goodsand jams...”more, American, Breakfast & Brunch, Bakeries","“Great service from the moment you walked in the door. Cute gift shop, homemade baked goods and jams...” more"
Yelp,Donegal,Bartram House Bakery,3.2,(129 reviews),McMurray,$$,"“They havedelicious pastries, cookies, and awesome biscotti, and bake their own bread.”more, Bakeries, Cake Shop & Patisserie Shops","“They have delicious pastries , cookies, and awesome biscotti, and bake their own bread.” more"
Yelp,Donegal,Grandview Bakery,4.4,(169 reviews),Mt. Washington,$$,"“So, I stopped by this morning to purchase somesweet treatsfor the nurses who are caring for my mom...”more, Bakeries","“So, I stopped by this morning to purchase some sweet treats for the nurses who are caring for my mom...” more"
Yelp,Donegal,Cafe One Eleven,4.3,(4 reviews),Elizabeth,,"“Great food, fast and a classic diner. They have a greatbakeryas well of small pastries.”more, Breakfast & Brunch, Donuts, Sandwiches","“Great food, fast and a classic diner. They have a great bakery as well of small pastries.” more"
Yelp,Donegal,Prantl's Bakery,4.1,(35 reviews),North Side,,"“Wonderful friendly service. Fantasticbaked goodsand pastries. Go! You will not regret it.”more, Bakeries, Desserts, Custom Cakes",“Wonderful friendly service. Fantastic baked goods and pastries. Go! You will not regret it.” more
Yelp,Donegal,The Cakery,4.2,(24 reviews),West View,,"“Incredible baked goods. We purchase the keto and diabeticsweet treatsand always marvel at the...”more, Bakeries, Custom Cakes",“Incredible baked goods. We purchase the keto and diabetic sweet treats and always marvel at the...” more
Yelp,Donegal,Caffe Amadeus,4.7,(66 reviews),Indiana,$,"“Today I had the best latte I've ever had...and some seriouslydelicious pastries.”more, Coffee & Tea Shops, Juice Bar & Smoothies, Desserts",“Today I had the best latte I've ever had...and some seriously delicious pastries .” more
Yelp,Donegal,Kinseys Kookies,until 16:00,,Seward,,Bakeries,
Yelp,Donegal,Friendship Farms Foods,1.0,(1 review),Latrobe,,"“Haven't had the chance to eat here only interacted with their van. The van does not use their turn signal and cuts people off in traffic.”more, Bakeries, Bagels",“Haven't had the chance to eat here only interacted with their van. The van does not use their turn signal and cuts people off in traffic.” more
Yelp,Donegal,Wirt's Sweet Treats,3.3,(4 reviews),North Apollo,$$$,"“I found Wirt'sSweet Treatson Facebook. I ordered mini cupcakes. Really good.”more, Bakeries",“I found Wirt's Sweet Treats on Facebook. I ordered mini cupcakes. Really good.” more
Yelp,Donegal,Mami's Bakes,5.0,(5 reviews),Carnegie,,"“Mami's Bakes offers exceptionalbaked goodsthat are simply delightful.”more, Bakeries, Gluten Free, Vegan",“Mami's Bakes offers exceptional baked goods that are simply delightful.” more
Yelp,Donegal,Thomahawk Deli & Grill,4.6,(26 reviews),Davidsville,$,"“Love it here. GreatBakery items, wonderful wraps and flatbreads. Frozen food section is amazing!”more, Delis, American","“Love it here. Great Bakery items , wonderful wraps and flatbreads. Frozen food section is amazing!” more"
Yelp,Donegal,Canonsburg Cake,5.0,(3 reviews),Canonsburg,,"“Thisbakeryis a welcome addition to the cute downtown area of Canonsburg.”more, Desserts, Custom Cakes, Cupcakes",“This bakery is a welcome addition to the cute downtown area of Canonsburg.” more
Yelp,Donegal,Lattanzio's Bakery,,,Latrobe,,Bakeries,
Yelp,Donegal,Lincoln Bakery,3.6,(99 reviews),Bellevue,$$,"“I recommend that the employees add little signs with the names of thebaked goods.”more, Bakeries, Desserts",“I recommend that the employees add little signs with the names of the baked goods .” more
Yelp,Donegal,Rising Creek 2 Tutto Gelato,4.6,(14 reviews),Morgantown,,"“I came to this quaint place after visiting Rising CreekBakery. The location is good for Morgantown...”more, Cafes, Bakeries, Breakfast & Brunch",“I came to this quaint place after visiting Rising Creek Bakery . The location is good for Morgantown...” more
Yelp,Donegal,Freya Jane’s Bakery and Cafe,4.7,(6 reviews),Valencia,,"“Great coffee, freshbaked goodsand wonderful vibes. We left with cinnamon rolls, biscotti, muffins...”more, Cafes, Bakeries","“Great coffee, fresh baked goods and wonderful vibes. We left with cinnamon rolls, biscotti, muffins...” more"
Yelp,Donegal,La Peri Dolci,5.0,(1 review),Pittsburgh,,"“The best biscottis in town! Local business is the heart of any community! La Peri Dolci is a hidden gem in Penn Hills. Upon entering, you are…”more, Bakeries","“The best biscottis in town! Local business is the heart of any community! La Peri Dolci is a hidden gem in Penn Hills. Upon entering, you are…” more"
Yelp,Donegal,Madeleine Bakery And Bistro,4.5,(133 reviews),Wilkinsburg,$$,"“The Madeline's are amazing and so is thefreshly bakedbread. I find myself thinking about this...”more, Cafes, Bakeries, French",“The Madeline's are amazing and so is the freshly baked bread. I find myself thinking about this...” more
